 "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStress_MPa" , "FatigueTestFrequency_Hz" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "335" , "1.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "125" , "10.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "190" , "12.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "207" , "12.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "345" , "2.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "276" , "4.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "190" , "5.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "25.0" , "3.68" , "276" , "5.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "186" , "10.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "212" , "10.0" ,
 "CoRezyn 63-AX-050" , "Hexcel Knytex A260 (868 gsm)" , "100.0" , "0.0" , "0.0" , "0.0" , "50.0" , "3.68" , "279" , "5.0" ,
